Edges count:,2112
Element count:,1024
¹,q,q*,|q - q*|
309,3.64126e-01,3.66273e-01,2.14642e-03
310,6.77643e-01,6.81639e-01,3.99539e-03
311,8.96977e-01,9.02268e-01,5.29089e-03
312,9.91641e-01,9.97495e-01,5.85412e-03
313,9.48477e-01,9.54086e-01,5.60848e-03
314,7.73483e-01,7.78073e-01,4.59045e-03
315,4.90975e-01,4.93920e-01,2.94493e-03
316,1.40214e-01,1.41120e-01,9.05590e-04
317,-2.30057e-01,-2.31294e-01,1.23707e-03
318,-5.68387e-01,-5.71561e-01,3.17480e-03
319,-8.27767e-01,-8.32391e-01,4.62324e-03
320,-9.72171e-01,-9.77530e-01,5.35890e-03
321,-9.81560e-01,-9.86808e-01,5.24749e-03
322,-8.54677e-01,-8.58934e-01,4.25754e-03
323,-6.09224e-01,-6.11682e-01,2.45823e-03
324,-2.79415e-01,-2.79415e-01,1.82036e-09
325,-5.50094e-01,-5.54190e-01,4.09535e-03
326,-5.50094e-01,-5.54190e-01,4.09539e-03
327,-5.50094e-01,-5.54190e-01,4.09537e-03
328,-5.50094e-01,-5.54190e-01,4.09550e-03
329,-5.50094e-01,-5.54190e-01,4.09541e-03
330,-5.50094e-01,-5.54190e-01,4.09551e-03
331,-5.50094e-01,-5.54190e-01,4.09540e-03
332,-5.50094e-01,-5.54190e-01,4.09548e-03
333,-5.50094e-01,-5.54190e-01,4.09545e-03
334,-5.50094e-01,-5.54190e-01,4.09542e-03
335,-5.50094e-01,-5.54190e-01,4.09544e-03
336,-5.50094e-01,-5.54190e-01,4.09542e-03
337,-5.50094e-01,-5.54190e-01,4.09541e-03
338,-5.50094e-01,-5.54190e-01,4.09544e-03
339,-5.50094e-01,-5.54190e-01,4.09544e-03
340,-5.50094e-01,-5.54190e-01,4.09541e-03
341,-5.50094e-01,-5.54190e-01,4.09541e-03
342,-5.50094e-01,-5.54190e-01,4.09544e-03
343,-5.50094e-01,-5.54190e-01,4.09548e-03
344,-5.50094e-01,-5.54190e-01,4.09548e-03
345,-5.50094e-01,-5.54190e-01,4.09545e-03
346,-5.50094e-01,-5.54190e-01,4.09544e-03
347,-5.50094e-01,-5.54190e-01,4.09543e-03
348,-5.50094e-01,-5.54190e-01,4.09544e-03
349,-5.50094e-01,-5.54190e-01,4.09544e-03
350,-5.50094e-01,-5.54190e-01,4.09537e-03
351,-5.50094e-01,-5.54190e-01,4.09546e-03
352,-5.50094e-01,-5.54190e-01,4.09548e-03
353,-5.50094e-01,-5.54190e-01,4.09545e-03
354,-5.50094e-01,-5.54190e-01,4.09548e-03
355,-5.50094e-01,-5.54190e-01,4.09535e-03
356,-5.50094e-01,-5.54190e-01,4.09551e-03
357,2.79415e-01,2.79415e-01,1.02525e-09
358,6.09224e-01,6.11682e-01,2.45823e-03
359,8.54677e-01,8.58934e-01,4.25753e-03
360,9.81560e-01,9.86808e-01,5.24748e-03
361,9.72171e-01,9.77530e-01,5.35891e-03
362,8.27767e-01,8.32391e-01,4.62321e-03
363,5.68387e-01,5.71561e-01,3.17479e-03
364,2.30057e-01,2.31294e-01,1.23703e-03
365,-1.40214e-01,-1.41120e-01,9.05621e-04
366,-4.90975e-01,-4.93920e-01,2.94499e-03
367,-7.73483e-01,-7.78073e-01,4.59049e-03
368,-9.48477e-01,-9.54086e-01,5.60851e-03
369,-9.91641e-01,-9.97495e-01,5.85417e-03
370,-8.96977e-01,-9.02268e-01,5.29094e-03
371,-6.77643e-01,-6.81639e-01,3.99544e-03
372,-3.64126e-01,-3.66273e-01,2.14647e-03
373,2.40005e-08,0.00000e+00,2.40005e-08
374,3.64126e-01,3.66273e-01,2.14642e-03
375,6.77643e-01,6.81639e-01,3.99539e-03
376,8.96977e-01,9.02268e-01,5.29089e-03
377,9.91641e-01,9.97495e-01,5.85411e-03
378,9.48477e-01,9.54086e-01,5.60847e-03
379,7.73483e-01,7.78073e-01,4.59045e-03
380,4.90975e-01,4.93920e-01,2.94494e-03
381,1.40214e-01,1.41120e-01,9.05590e-04
382,-2.30057e-01,-2.31294e-01,1.23706e-03
383,-5.68387e-01,-5.71561e-01,3.17482e-03
384,-8.27767e-01,-8.32391e-01,4.62322e-03
385,-9.72171e-01,-9.77530e-01,5.35895e-03
386,-9.81560e-01,-9.86808e-01,5.24748e-03
387,-8.54677e-01,-8.58934e-01,4.25753e-03
388,-6.09224e-01,-6.11682e-01,2.45826e-03
389,-2.79415e-01,-2.79415e-01,1.82036e-09
390,-8.15173e-01,-8.20559e-01,5.38649e-03
391,-8.15173e-01,-8.20559e-01,5.38649e-03
392,-8.15173e-01,-8.20559e-01,5.38650e-03
393,-8.15173e-01,-8.20559e-01,5.38661e-03
394,-8.15173e-01,-8.20559e-01,5.38653e-03
395,-8.15173e-01,-8.20559e-01,5.38663e-03
396,-8.15173e-01,-8.20559e-01,5.38651e-03
397,-8.15173e-01,-8.20559e-01,5.38659e-03
398,-8.15173e-01,-8.20559e-01,5.38657e-03
399,-8.15173e-01,-8.20559e-01,5.38655e-03
400,-8.15173e-01,-8.20559e-01,5.38656e-03
401,-8.15173e-01,-8.20559e-01,5.38653e-03
402,-8.15173e-01,-8.20559e-01,5.38653e-03
403,-8.15173e-01,-8.20559e-01,5.38655e-03
404,-8.15173e-01,-8.20559e-01,5.38656e-03
405,-8.15173e-01,-8.20559e-01,5.38653e-03
406,-8.15173e-01,-8.20559e-01,5.38652e-03
407,-8.15173e-01,-8.20559e-01,5.38656e-03
408,-8.15173e-01,-8.20559e-01,5.38661e-03
409,-8.15173e-01,-8.20559e-01,5.38660e-03
410,-8.15173e-01,-8.20559e-01,5.38655e-03
411,-8.15173e-01,-8.20559e-01,5.38655e-03
412,-8.15173e-01,-8.20559e-01,5.38656e-03
413,-8.15173e-01,-8.20559e-01,5.38655e-03
414,-8.15173e-01,-8.20559e-01,5.38656e-03
415,-8.15173e-01,-8.20559e-01,5.38648e-03
416,-8.15173e-01,-8.20559e-01,5.38657e-03
417,-8.15173e-01,-8.20559e-01,5.38663e-03
418,-8.15173e-01,-8.20559e-01,5.38653e-03
419,-8.15173e-01,-8.20559e-01,5.38659e-03
420,-8.15173e-01,-8.20559e-01,5.38646e-03
421,-8.15173e-01,-8.20559e-01,5.38663e-03
422,2.79415e-01,2.79415e-01,1.02525e-09
423,6.09224e-01,6.11682e-01,2.45824e-03
424,8.54677e-01,8.58934e-01,4.25752e-03
425,9.81560e-01,9.86808e-01,5.24748e-03
426,9.72171e-01,9.77530e-01,5.35891e-03
427,8.27767e-01,8.32391e-01,4.62321e-03
428,5.68387e-01,5.71561e-01,3.17480e-03
429,2.30057e-01,2.31294e-01,1.23703e-03
430,-1.40214e-01,-1.41120e-01,9.05616e-04
431,-4.90975e-01,-4.93920e-01,2.94499e-03
432,-7.73483e-01,-7.78073e-01,4.59049e-03
433,-9.48477e-01,-9.54086e-01,5.60851e-03
434,-9.91641e-01,-9.97495e-01,5.85417e-03
435,-8.96977e-01,-9.02268e-01,5.29095e-03
436,-6.77643e-01,-6.81639e-01,3.99544e-03
437,-3.64126e-01,-3.66273e-01,2.14646e-03
438,2.48884e-08,0.00000e+00,2.48884e-08
439,3.64126e-01,3.66273e-01,2.14642e-03
440,6.77643e-01,6.81639e-01,3.99539e-03
441,8.96977e-01,9.02268e-01,5.29089e-03
442,9.91641e-01,9.97495e-01,5.85412e-03
443,9.48477e-01,9.54086e-01,5.60847e-03
444,7.73483e-01,7.78073e-01,4.59045e-03
445,4.90975e-01,4.93920e-01,2.94495e-03
446,1.40214e-01,1.41120e-01,9.05591e-04
447,-2.30057e-01,-2.31294e-01,1.23705e-03
448,-5.68387e-01,-5.71561e-01,3.17481e-03
449,-8.27767e-01,-8.32391e-01,4.62324e-03
450,-9.72171e-01,-9.77530e-01,5.35893e-03
451,-9.81560e-01,-9.86808e-01,5.24749e-03
452,-8.54677e-01,-8.58934e-01,4.25754e-03
453,-6.09224e-01,-6.11682e-01,2.45826e-03
454,-2.79415e-01,-2.79415e-01,1.82036e-09
455,-9.66790e-01,-9.72884e-01,6.09442e-03
456,-9.66790e-01,-9.72884e-01,6.09441e-03
457,-9.66790e-01,-9.72884e-01,6.09442e-03
458,-9.66789e-01,-9.72884e-01,6.09453e-03
459,-9.66789e-01,-9.72884e-01,6.09445e-03
460,-9.66789e-01,-9.72884e-01,6.09454e-03
461,-9.66790e-01,-9.72884e-01,6.09444e-03
462,-9.66789e-01,-9.72884e-01,6.09451e-03
463,-9.66789e-01,-9.72884e-01,6.09449e-03
464,-9.66789e-01,-9.72884e-01,6.09448e-03
465,-9.66789e-01,-9.72884e-01,6.09448e-03
466,-9.66789e-01,-9.72884e-01,6.09445e-03
467,-9.66790e-01,-9.72884e-01,6.09444e-03
468,-9.66789e-01,-9.72884e-01,6.09447e-03
469,-9.66789e-01,-9.72884e-01,6.09448e-03
470,-9.66789e-01,-9.72884e-01,6.09445e-03
471,-9.66790e-01,-9.72884e-01,6.09444e-03
472,-9.66789e-01,-9.72884e-01,6.09448e-03
473,-9.66789e-01,-9.72884e-01,6.09454e-03
474,-9.66789e-01,-9.72884e-01,6.09453e-03
475,-9.66789e-01,-9.72884e-01,6.09447e-03
476,-9.66789e-01,-9.72884e-01,6.09446e-03
477,-9.66789e-01,-9.72884e-01,6.09447e-03
478,-9.66789e-01,-9.72884e-01,6.09447e-03
479,-9.66789e-01,-9.72884e-01,6.09447e-03
480,-9.66790e-01,-9.72884e-01,6.09440e-03
481,-9.66789e-01,-9.72884e-01,6.09449e-03
482,-9.66789e-01,-9.72884e-01,6.09454e-03
483,-9.66790e-01,-9.72884e-01,6.09445e-03
484,-9.66789e-01,-9.72884e-01,6.09450e-03
485,-9.66790e-01,-9.72884e-01,6.09437e-03
486,-9.66789e-01,-9.72884e-01,6.09454e-03
487,2.79415e-01,2.79415e-01,1.02525e-09
488,6.09224e-01,6.11682e-01,2.45825e-03
489,8.54677e-01,8.58934e-01,4.25752e-03
490,9.81560e-01,9.86808e-01,5.24748e-03
491,9.72171e-01,9.77530e-01,5.35891e-03
492,8.27767e-01,8.32391e-01,4.62321e-03
493,5.68387e-01,5.71561e-01,3.17481e-03
494,2.30057e-01,2.31294e-01,1.23704e-03
495,-1.40214e-01,-1.41120e-01,9.05610e-04
496,-4.90975e-01,-4.93920e-01,2.94498e-03
497,-7.73483e-01,-7.78073e-01,4.59049e-03
498,-9.48477e-01,-9.54086e-01,5.60851e-03
499,-9.91641e-01,-9.97495e-01,5.85417e-03
500,-8.96977e-01,-9.02268e-01,5.29095e-03
501,-6.77643e-01,-6.81639e-01,3.99544e-03
502,-3.64126e-01,-3.66273e-01,2.14646e-03
503,1.93590e-08,0.00000e+00,1.93590e-08
504,3.64126e-01,3.66273e-01,2.14642e-03
505,6.77643e-01,6.81639e-01,3.99539e-03
506,8.96977e-01,9.02268e-01,5.29090e-03
507,9.91641e-01,9.97495e-01,5.85413e-03
508,9.48477e-01,9.54086e-01,5.60847e-03
509,7.73483e-01,7.78073e-01,4.59045e-03
510,4.90975e-01,4.93920e-01,2.94494e-03
511,1.40214e-01,1.41120e-01,9.05592e-04
512,-2.30057e-01,-2.31294e-01,1.23706e-03
